,datetime,generation_coal,generation_solar,generation_other_renewable,generation_outsourcing_estimated,demand,predicted
66,2017-04-03 18:00:00,314,350,93,636.421679,1340.8731,1344.3434827724855
67,2017-04-03 19:00:00,311,52,93,936.0037100000001,1314.719,1323.2482891779744
68,2017-04-03 20:00:00,309,34,93,997.104423,1350.7747,1349.6051789121375
69,2017-04-03 21:00:00,306,19,94,975.2070860000001,1313.6854,1314.39000173654
70,2017-04-03 22:00:00,305,18,90,951.919999,1286.3211,1296.2243060384235
71,2017-04-03 23:00:00,301,18,90,879.6683680000001,1216.0352,1211.9463539809212
72,2017-04-04 00:00:00,275,522,85,291.79038399999996,1149.6976,1152.8213114847133
73,2017-04-04 01:00:00,265,524,91,226.49426099999994,1087.7929,1088.0044380851557
74,2017-04-04 02:00:00,270,467,94,228.88506700000005,1040.9863,1040.9105257638873
75,2017-04-04 03:00:00,256,382,93,300.1165670000001,1006.3363,1015.1725800184715
76,2017-04-04 04:00:00,256,303,93,359.46892,981.788,990.7121062411638
77,2017-04-04 05:00:00,254,221,94,439.96324,972.636,978.4568908747024
78,2017-04-04 06:00:00,238,103,90,603.87199,985.011,992.3394252630559
79,2017-04-04 07:00:00,260,66,90,618.5148320000001,983.4448,976.2894763879702
80,2017-04-04 08:00:00,274,345,88,449.78980800000005,1119.6512,1119.0215976800744
81,2017-04-04 09:00:00,271,1648,88,0.0,1300.7504,1289.8680805052968
82,2017-04-04 10:00:00,270,3794,90,0.0,1406.502,1395.9715588910192
83,2017-04-04 11:00:00,270,4902,90,0.0,1484.0258,1495.6396816199845
84,2017-04-04 12:00:00,253,5292,91,0.0,1502.7642,1511.0110915873743
85,2017-04-04 13:00:00,244,5382,92,0.0,1526.786,1518.983240999579
86,2017-04-04 14:00:00,249,5400,89,0.0,1539.1467,1537.4762310783992
87,2017-04-04 15:00:00,265,5378,91,0.0,1543.9105,1541.9854056632023
88,2017-04-04 16:00:00,261,5260,89,0.0,1540.838,1551.8508445117307
89,2017-04-04 17:00:00,261,4791,87,0.0,1478.7115,1492.3575246736325
90,2017-04-04 18:00:00,267,4123,88,0.0,1345.0336,1335.4523495672279
91,2017-04-04 19:00:00,262,3003,90,0.0,1352.7185,1364.8452922537067
92,2017-04-04 20:00:00,261,1393,91,0.0,1381.4274,1376.008046319617
93,2017-04-04 21:00:00,266,639,90,380.094009,1343.7101,1330.2823985259895
94,2017-04-04 22:00:00,265,577,89,424.26996499999996,1320.2385,1322.6503324714718
95,2017-04-04 23:00:00,263,574,80,370.5513860000001,1256.9554,1256.6375065516677
96,2017-04-05 00:00:00,320,738,93,20.945112999999967,1170.2157,1176.2563717870967
97,2017-04-05 01:00:00,320,733,92,0.0,1104.0414,1113.5921341091748
98,2017-04-05 02:00:00,324,722,92,0.0,1061.4006,1071.7214431838631
99,2017-04-05 03:00:00,318,643,94,0.0,1030.3481,1032.1271474641887
100,2017-04-05 04:00:00,318,577,88,17.36784200000002,998.9338,999.0275751935325
101,2017-04-05 05:00:00,314,532,91,54.666661000000055,987.1529,977.4106568605563
102,2017-04-05 06:00:00,305,368,95,252.62047099999998,999.7619,1005.6270425369877
103,2017-04-05 07:00:00,318,300,93,306.5030950000001,992.1955,984.9462788187325
104,2017-04-05 08:00:00,328,771,94,0.0,1139.2384,1149.6132873146253
105,2017-04-05 09:00:00,316,1669,93,0.0,1343.1557,1354.6545529464104
106,2017-04-05 10:00:00,304,2604,96,0.0,1433.2741,1446.840137363341
107,2017-04-05 11:00:00,299,3188,97,0.0,1507.9634,1504.5736168094556
108,2017-04-05 12:00:00,309,3237,94,0.0,1536.5396,1526.983578466908
109,2017-04-05 13:00:00,309,3319,97,0.0,1549.9785,1555.739319187428
110,2017-04-05 14:00:00,297,3411,97,0.0,1557.1339,1542.6756869733194
111,2017-04-05 15:00:00,295,3587,97,0.0,1580.8046,1582.6365888897474
112,2017-04-05 16:00:00,298,3396,97,0.0,1573.5033,1558.5503073459686
113,2017-04-05 17:00:00,297,2899,98,0.0,1501.0268,1509.7419549186088
